Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
DBMF,iMGP DBi Managed Futures Strategy ETF,Alternatives,"$829,521,000",-3.23%,"397,797",$28.17,0.93%,No,False,-0.35%,-2.63%,-10.25%,10.33%,N/A,"-$87,826,500.00","-$127,454,500.00","-$141,193,250.00","-$87,826,500.00","-$87,131,510.00","-$87,131,510.00",Hedge Fund,2019-05-08,0.85%,N/A,$2.25,2022-12-28,$2.25,8.05%,0.04,-0.14,2,100.00%,40%,20%,1099,$27.80,$29.38,$27.99,$28.28,45.66,A-,B-,N/A,B+,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FTLS,First Trust Long/Short Equity ETF,Alternatives,"$764,953,000",12.00%,"61,044",$54.17,-0.15%,No,False,0.39%,1.29%,13.22%,7.88%,7.43%,"$8,219,389.50","$13,530,270.50","$8,219,389.50","$8,219,389.50","$8,219,389.50","$8,219,389.50",Long-Short,2014-09-09,1.36%,N/A,$0.87,2023-09-22,$0.21,1.60%,0.04,0.51,307,67.24%,40%,20%,1099,$52.07,$54.59,$53.93,$54.45,58.19,A,B-,A-,B+,B-,N/A,6.03,24.75%,39.68%,169.04,3.86%,6.46%
QAI,IQ Hedge Multi-Strategy Tracker ETF,Alternatives,"$602,011,000",5.45%,"85,309",$30.01,-0.33%,No,False,0.13%,0.23%,8.51%,-0.20%,1.55%,"-$10,511,165.50",$0.00,"-$6,017,109.50","-$10,511,165.50","-$10,511,165.50","-$10,511,165.50",Long-Short,2009-03-25,0.78%,Charles Schwab,$0.57,2022-12-29,$0.57,1.89%,0.05,0.30,26,86.82%,40%,20%,1099,$29.47,$30.26,$29.96,$30.10,51.86,A,B+,B+,A,A,C+,6.4,46.30%,48.62%,184.98,3.47%,3.76%
RLY,SPDR SSgA Multi-Asset Real Return ETF,Alternatives,"$535,038,000",-3.25%,"117,623",$26.20,-0.49%,No,False,-2.49%,0.31%,-0.95%,12.79%,6.10%,"$29,981,729.67","$29,213,426.23","$32,395,883.69","$29,981,729.67","$30,277,061.56","$30,277,061.56",Hedge Fund,2012-04-25,0.50%,Charles Schwab,$1.47,2023-09-19,$0.06,5.60%,0.04,0.70,12,99.27%,40%,20%,1099,$26.03,$27.07,$26.10,$26.39,42.06,A,A,B+,B+,A-,B+,6.71,73.97%,60.15%,561.67,9.39%,2.43%
MNA,IQ Merger Arbitrage ETF,Alternatives,"$441,458,000",-2.11%,"39,048",$31.06,-0.10%,No,False,-1.02%,-1.02%,0.18%,-2.62%,-0.11%,"-$17,310,953.00","-$3,124,303.00","-$14,150,864.00","-$17,310,953.00","-$17,310,953.00","-$17,310,953.00",Hedge Fund,2009-11-17,0.77%,Charles Schwab,$0.00,2020-12-30,$0.77,0.00%,0.03,0.13,50,55.83%,40%,20%,1099,$31.09,$31.72,$30.98,$31.17,38.46,A-,B-,B+,A,A-,A-,5.7,31.25%,33.06%,292.4,4.92%,11.86%
BTAL,AGF U.S. Market Neutral Anti-Beta Fund,Alternatives,"$332,015,000",-0.99%,"336,168",$21.00,0.77%,No,False,0.48%,4.27%,-1.23%,-1.80%,0.43%,"$16,484,430.00","-$4,139,380.00","$10,474,735.00","$16,484,430.00","$16,484,430.00","$16,484,430.00",Long-Short,2011-09-13,1.54%,N/A,$0.21,2022-12-28,$0.21,1.02%,0.04,-0.51,401,110.86%,40%,20%,1099,$20.27,$21.30,$20.75,$21.15,61.67,A+,C,B,C+,B+,C+,0.0,N/A,N/A,N/A,N/A,N/A
KMLM,KFA Mount Lucas Managed Futures Index Strategy ETF,Alternatives,"$290,281,000",3.11%,"89,682",$31.50,1.42%,No,False,-1.25%,-1.04%,-4.68%,N/A,N/A,"$4,838,333.61","$1,588,182.90","-$81,931.21","$4,838,333.61","$4,839,526.33","$4,839,526.33",Long-Short,2020-12-02,0.90%,N/A,$4.04,2022-12-28,$4.04,13.00%,0.00,-0.35,7,99.99%,40%,20%,1099,$31.07,$33.17,$31.20,$31.73,45.18,C,B+,N/A,B-,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PFIX,Simplify Interest Rate Hedge ETF,Alternatives,"$221,471,000",36.16%,"165,208",$96.43,3.99%,No,False,-2.99%,-10.23%,25.15%,N/A,N/A,"-$5,471,925.00",$0.00,"-$8,123,050.00","-$5,471,925.00","-$5,471,925.00","-$5,471,925.00",Hedge Fund,2021-05-10,0.50%,N/A,$1.10,2023-10-26,$0.10,1.18%,0.00,-1.09,6,100.00%,40%,20%,1099,$93.59,$113.86,$93.64,$98.59,48.32,A,A-,N/A,C,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FLSP,Franklin Systematic Style Premia ETF,Alternatives,"$163,633,000",5.41%,"19,952",$22.39,0.27%,No,False,-0.64%,1.22%,7.00%,4.25%,N/A,"$80,286,000.00",$0.00,"$50,962,500.00","$80,286,000.00","$80,286,000.00","$80,286,000.00",Long-Short,2019-12-18,0.65%,N/A,$0.46,2022-12-12,$0.46,2.05%,0.08,0.02,236,42.18%,40%,20%,1099,$21.91,$23.35,N/A,N/A,48.93,B,A-,N/A,A-,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FMF,First Trust Managed Futures Strategy Fund,Alternatives,"$162,289,000",2.85%,"19,950",$47.94,0.67%,No,False,-1.28%,0.15%,-3.54%,5.09%,1.57%,"$2,324,908.00","$9,581,524.00","$2,324,908.00","$2,324,908.00","$2,324,908.00","$2,324,908.00",Hedge Fund,2013-08-01,0.95%,N/A,$1.20,2023-09-22,$0.38,2.52%,0.00,-0.02,1,77.38%,40%,20%,1099,$47.82,$48.76,$47.65,$48.26,45.53,B,C+,C+,B-,C+,N/A,5.67,7.14%,32.51%,1.6,0.00%,0.00%
CTA,Simplify Managed Futures Strategy ETF,Alternatives,"$158,837,000",4.78%,"118,112",$27.05,1.05%,No,False,1.50%,0.19%,-1.26%,N/A,N/A,"$6,746,850.00",$0.00,"$15,275,325.00","-$43,125,225.00","$179,629,400.00","$179,629,400.00",Long-Short,2022-03-07,0.78%,N/A,$1.46,2023-09-27,$0.10,5.45%,0.00,2.34,5,100.00%,40%,20%,1099,$26.43,$26.98,$26.82,$27.19,57.74,N/A,A-,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
WTMF,WisdomTree Managed Futures Strategy Fund,Alternatives,"$151,365,000",12.52%,"23,194",$34.14,0.38%,No,False,0.41%,2.02%,9.08%,6.56%,2.48%,"-$1,745,360.00",$0.00,"-$1,745,360.00","-$1,745,360.00","$1,884,540.00","$1,884,540.00",Hedge Fund,2011-01-05,0.65%,N/A,$1.55,2023-10-25,$1.32,4.53%,0.00,0.09,1,140.59%,40%,20%,1099,$33.39,$34.14,$34.09,$34.23,60.92,B+,B+,C+,A-,A+,N/A,5.72,38.10%,33.99%,0.0,0.00%,0.00%
