Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BND,Vanguard Total Bond Market ETF,Bond,"$97,412,800,000",-0.66%,"6,861,522",$69.55,-0.74%,No,False,0.24%,1.42%,2.36%,-5.17%,0.40%,"$2,245,423,000.00","$731,936,000.00","$1,220,107,000.00","$2,245,423,000.00","$2,160,373,000.00","$2,160,373,000.00",Total Bond Market,2007-04-03,0.03%,2 Platforms,$2.19,2023-11-01,$0.20,3.16%,0.00,0.14,18000,5.48%,40%,20%,1099,$67.47,$70.17,$69.37,$69.89,52.29,A,A,A-,C+,B+,A+,6.09,54.85%,41.15%,259.38,2.97%,0.99%
AGG,iShares Core U.S. Aggregate Bond ETF,Bond,"$92,214,100,000",-0.78%,"8,852,420",$93.74,-0.84%,No,False,0.14%,1.37%,2.24%,-5.17%,0.32%,"$1,367,898,080.00","$939,798,840.00","$1,323,680,530.00","$1,367,898,080.00","$1,607,082,200.00","$1,607,082,200.00",Total Bond Market,2003-09-22,0.03%,2 Platforms,$3.00,2023-11-01,$0.28,3.18%,0.00,0.12,11500,7.11%,40%,20%,1099,$90.87,$94.66,$93.50,$94.21,51.99,A+,A,A-,C+,B+,A,6.08,52.61%,40.99%,268.11,2.63%,0.93%
BNDX,Vanguard Total International Bond ETF,Bond,"$51,400,100,000",3.36%,"2,286,156",$48.28,-0.41%,No,False,0.47%,1.85%,2.80%,-3.96%,0.24%,"-$47,462,212.07","$70,380,912.28","-$95,466,966.19","-$47,462,212.07","$34,532,329.17","$34,532,329.17",Total Bond Market,2013-06-04,0.07%,Vanguard,$1.01,2023-11-01,$0.08,2.10%,0.00,0.13,7500,4.45%,40%,20%,1099,$47.03,$48.50,$48.20,$48.45,57.30,A,A,A,B,B-,N/A,6.51,72.02%,51.81%,74.0,0.91%,0.77%
TLT,iShares 20+ Year Treasury Bond ETF,Bond,"$42,879,000,000",-9.64%,"40,470,232",$87.50,-2.30%,No,False,0.53%,3.55%,-4.46%,-16.23%,-2.81%,"$3,394,118,850.00","$159,593,840.00","$3,054,028,830.00","$3,394,118,850.00","$3,452,322,790.00","$3,452,322,790.00",Government Bonds,2002-07-22,0.15%,2 Platforms,$3.25,2023-11-01,$0.29,3.71%,0.00,0.06,41,54.39%,40%,20%,1099,$81.47,$89.18,$86.48,$88.77,50.29,A+,C+,C,C,A-,C+,5.72,81.29%,33.99%,0.0,0.00%,0.00%
BIL,SPDR Bloomberg 1-3 Month T-Bill ETF,Bond,"$37,671,600,000",4.19%,"9,773,184",$91.57,0.05%,No,False,0.11%,0.49%,4.74%,1.82%,1.64%,"$6,622,915,339.05","-$1,747,617,938.05","$3,998,093,764.40","$6,622,915,339.05","$6,604,628,467.65","$6,604,628,467.65",Government Bonds,2007-05-25,0.14%,N/A,$4.19,2023-11-01,$0.41,4.58%,0.00,-0.05,18,74.25%,40%,20%,1099,$91.17,$91.59,$91.56,$91.57,99.80,A,B-,A,A,B,C+,5.72,21.82%,33.40%,1.6,0.00%,0.00%
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Bond,"$37,109,000,000",0.90%,"6,171,099",$75.77,-0.69%,No,False,0.24%,1.75%,4.88%,-4.70%,1.52%,"-$1,192,840,029.36","$796,756,000.00","-$699,093,626.13","-$1,192,840,029.36","-$1,024,522,029.36","-$1,024,522,029.36",Corporate Bonds,2009-11-19,0.04%,2 Platforms,$2.93,2023-11-01,$0.28,3.87%,0.00,0.27,2500,3.32%,40%,20%,1099,$73.13,$76.52,$75.58,$76.13,53.18,A,A,B+,B,B+,A,6.56,54.04%,53.62%,254.28,9.76%,3.78%
MUB,iShares National Muni Bond ETF,Bond,"$35,407,200,000",0.05%,"5,563,456",$103.24,-0.42%,No,False,1.16%,1.91%,3.64%,-1.72%,1.58%,"$891,117,950.00","$257,217,300.00","$84,219,750.00","$891,117,950.00","$891,117,950.00","$891,117,950.00",National Munis,2007-09-07,0.07%,2 Platforms,$2.79,2023-11-01,$0.25,2.70%,0.00,0.11,6000,2.64%,40%,20%,1099,$99.87,$103.56,$103.01,$103.60,56.66,A,A,B+,B,A-,A+,0.0,N/A,N/A,N/A,N/A,N/A
VCSH,Vanguard Short-Term Corporate Bond ETF,Bond,"$33,955,300,000",2.52%,"3,909,165",$75.13,-0.23%,No,False,0.05%,0.78%,4.51%,-1.03%,1.72%,"-$2,204,931,250.87","-$248,369,000.00","-$1,757,414,420.34","-$2,204,931,250.87","-$1,968,235,314.01","-$1,968,235,314.01",Corporate Bonds,2009-11-19,0.04%,2 Platforms,$2.27,2023-11-01,$0.23,3.01%,0.00,0.12,2500,3.06%,40%,20%,1099,$74.11,$75.45,$75.05,$75.26,56.58,A,A,B-,A-,B-,A,6.68,91.42%,58.84%,168.1,8.49%,3.04%
BSV,Vanguard Short-Term Bond ETF,Bond,"$32,298,800,000",1.92%,"2,406,177",$75.21,-0.27%,No,False,0.03%,0.67%,3.31%,-1.48%,1.24%,"-$772,168,000.00","-$82,933,000.00","-$644,817,000.00","-$772,168,000.00","-$755,904,000.00","-$755,904,000.00",Total Bond Market,2007-04-03,0.04%,3 Platforms,$1.75,2023-11-01,$0.19,2.31%,0.00,0.04,3000,8.39%,40%,20%,1099,$74.33,$75.54,$75.14,$75.34,55.75,A,A,A-,A-,B,A,6.1,21.72%,41.47%,149.23,2.36%,0.89%
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Bond,"$30,248,900,000",-0.23%,"22,599,796",$101.66,-1.01%,No,False,0.25%,2.05%,4.89%,-6.45%,1.18%,"$2,171,946,090.00","$1,256,400,600.00","$963,981,400.00","$2,171,946,090.00","$2,620,522,250.00","$2,620,522,250.00",Corporate Bonds,2002-07-22,0.14%,2 Platforms,$4.31,2023-11-01,$0.36,4.20%,0.00,0.33,3000,2.60%,40%,20%,1099,$97.26,$102.86,$101.24,$102.32,52.57,A+,B,A,C,A-,A,6.59,60.00%,55.07%,149.2,10.98%,3.29%
