Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
GLD,SPDR Gold Shares,Commodity,"$54,629,700,000",6.99%,"7,662,511",$181.49,0.40%,No,False,-1.43%,6.95%,14.40%,-0.31%,9.41%,"-$291,610,400.00","$387,771,600.00","$347,418,300.00","-$291,610,400.00","$195,186,400.00","$195,186,400.00",Precious Metals,2004-11-18,0.40%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.15,1,100.00%,40%,28%,1099,$178.18,$186.93,$180.83,$182.22,53.41,A+,B+,B,B+,B-,B-,0.0,N/A,N/A,N/A,N/A,N/A
IAU,iShares Gold Trust,Commodity,"$25,321,300,000",7.08%,"6,244,808",$37.04,0.38%,No,False,-1.49%,6.93%,14.53%,-0.16%,9.58%,"-$598,864,000.00","-$16,897,500.00","-$300,573,000.00","-$598,864,000.00","-$598,864,000.00","-$598,864,000.00",Precious Metals,2005-01-21,0.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.15,1,100.00%,40%,28%,1099,$36.37,$38.16,$36.91,$37.19,53.29,A,A,B+,B+,B-,C,0.0,N/A,N/A,N/A,N/A,N/A
SLV,iShares Silver Trust,Commodity,"$9,903,750,000",-6.04%,"16,737,508",$20.69,0.19%,No,False,-0.86%,4.87%,6.87%,-4.55%,8.82%,"-$15,061,500.00","$16,448,000.00","-$200,092,500.00","-$15,061,500.00","-$15,061,500.00","-$15,061,500.00",Precious Metals,2006-04-21,0.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.59,1,100.00%,40%,28%,1099,$20.56,$21.38,$20.54,$20.96,47.57,A,B,C+,C,B-,C+,0.0,N/A,N/A,N/A,N/A,N/A
GLDM,SPDR Gold MiniShares Trust,Commodity,"$5,882,220,000",7.29%,"1,393,320",$38.83,0.41%,No,False,-1.42%,6.97%,14.71%,-0.06%,9.68%,"-$150,226,300.00","$7,672,800.00","-$47,981,100.00","-$150,226,300.00","-$150,226,300.00","-$150,226,300.00",Precious Metals,2018-06-25,0.10%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.15,1,100.00%,40%,28%,1099,$38.11,$39.98,$38.69,$38.98,53.57,N/A,A,N/A,N/A,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PDBC,Invesco Optimum Yield Diversified Commodity Strategy No K-1 ETF,Commodity,"$5,692,760,000",-2.91%,"3,995,906",$14.35,-0.07%,No,False,-3.43%,0.21%,-5.28%,22.37%,8.11%,"$294,958,300.00","-$70,415,850.00","$58,580,050.00","$294,958,300.00","$252,795,400.00","$252,795,400.00",Commodities,2014-11-07,0.59%,N/A,$1.93,2022-12-19,$1.93,13.44%,0.00,0.52,5,99.99%,40%,20%,1099,$14.44,$15.18,N/A,N/A,40.61,A+,B+,N/A,N/A,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FTGC,First Trust Global Tactical Commodity Strategy Fund,Commodity,"$2,724,080,000",-2.74%,"800,933",$23.28,-0.13%,No,False,-2.51%,-0.04%,-1.85%,17.49%,8.26%,"$117,173,234.00","$18,649,600.00","$146,846,066.00","$117,173,234.00","$117,173,234.00","$117,173,234.00",Commodities,2013-10-22,0.95%,N/A,$3.07,2023-09-22,$0.19,13.17%,0.00,0.45,12,90.57%,40%,20%,1099,$23.41,$24.22,$23.20,$23.39,39.51,A,C,N/A,N/A,B+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SGOL,abrdn Physical Gold Shares ETF,Commodity,"$2,689,330,000",7.21%,"2,062,912",$18.73,0.48%,No,False,-1.42%,7.03%,14.63%,-0.05%,9.66%,"-$13,489,100.00","$5,622,300.00","$9,426,700.00","-$13,489,100.00","-$4,558,600.00","-$4,558,600.00",Precious Metals,2009-09-09,0.17%,Charles Schwab,$0.00,N/A,N/A,0.00%,0.00,0.15,1,100.00%,40%,28%,1099,$18.38,$19.28,$18.66,$18.80,53.66,A-,A+,B+,A-,C,B,0.0,N/A,N/A,N/A,N/A,N/A
DBC,Invesco DB Commodity Index Tracking Fund,Commodity,"$2,060,640,000",-2.96%,"1,229,297",$23.92,-0.25%,No,False,-3.59%,0.00%,-5.38%,22.43%,8.35%,"-$32,506,650.00","-$25,632,800.00","-$97,249,950.00","-$32,506,650.00","-$64,497,553.00","-$64,497,553.00",Commodities,2006-02-03,0.87%,2 Platforms,$0.14,2022-12-19,$0.14,0.61%,0.00,0.54,6,100.00%,28%,28%,K-1,$24.10,$25.33,N/A,N/A,40.38,A,C+,A-,B+,A,A,0.0,N/A,N/A,N/A,N/A,N/A
USO,United States Oil Fund LP,Commodity,"$1,625,510,000",0.20%,"4,042,538",$70.25,0.09%,No,False,-7.78%,-5.27%,-1.98%,38.45%,-7.32%,"$301,090,200.00","-$78,576,000.00","$245,117,200.00","$301,090,200.00","$273,908,000.00","$273,908,000.00",Oil & Gas,2006-04-10,0.81%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.93,1,100.00%,28%,28%,K-1,$70.86,$82.38,N/A,N/A,37.26,A+,A-,B-,C+,C,B+,0.0,N/A,N/A,N/A,N/A,N/A
GSG,iShares S&P GSCI Commodity-Indexed Trust,Commodity,"$1,064,780,000",-2.64%,"740,048",$20.67,-0.48%,No,False,-5.49%,-3.14%,-5.36%,24.78%,4.61%,"$4,520,575.00","$23,906,110.00","$24,756,185.00","$4,520,575.00","$6,271,535.00","$6,271,535.00",Commodities,2006-07-10,0.75%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.66,1,0.00%,28%,28%,K-1,$20.90,$22.75,$20.57,$20.86,36.51,A,C+,A,B-,C,A-,0.0,N/A,N/A,N/A,N/A,N/A
