Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
BITO,ProShares Bitcoin Strategy ETF,Currency,"$1,336,130,000",110.70%,"10,338,445",$18.45,2.44%,No,False,4.30%,30.12%,127.49%,N/A,N/A,"-$18,069,208.00",$0.00,"$1,946,413.00","-$18,069,208.00","$74,677,232.00","$74,677,232.00",Currency,2021-10-19,0.95%,N/A,$2.83,2023-11-01,$0.14,15.71%,0.00,1.90,1,100.00%,40%,20%,1099,$13.50,$19.53,$17.88,$19.13,73.10,N/A,C+,N/A,N/A,B,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UUP,Invesco DB US Dollar Index Bullish Fund,Currency,"$650,082,000",7.37%,"1,376,749",$29.86,0.44%,No,False,-0.10%,0.40%,1.24%,6.56%,3.82%,"$119,065,500.00","$29,721,250.00","$5,760,300.00","$119,065,500.00","$119,065,500.00","$119,065,500.00",Currency,2007-02-20,0.78%,N/A,$0.25,2022-12-19,$0.25,0.83%,0.00,-0.15,3,99.99%,28%,28%,K-1,$29.62,$30.09,$29.75,$29.92,55.12,A+,B,B,A,C+,A,0.0,N/A,N/A,N/A,N/A,N/A
USDU,WisdomTree Bloomberg U.S. Dollar Bullish Fund,Currency,"$239,737,000",6.95%,"303,173",$27.86,0.54%,No,False,0.36%,0.43%,1.68%,5.33%,2.75%,"$20,946,735.00","-$8,256,780.00","$16,772,815.00","$20,946,735.00","$11,721,635.00","$11,721,635.00",Currency,2013-12-18,0.50%,2 Platforms,$2.04,2022-12-23,$0.28,7.36%,0.00,-0.18,6,99.99%,40%,20%,1099,$27.54,$28.10,$27.74,$27.92,56.43,N/A,B+,N/A,N/A,N/A,N/A,5.72,0.00%,33.99%,0.0,0.00%,0.00%
FXY,Invesco Currencyshares Japanese Yen Trust,Currency,"$227,637,000",-13.71%,"81,845",$61.35,-0.18%,No,False,-0.65%,-1.41%,-3.67%,-12.47%,-6.05%,"$6,228,157.52",$0.00,"$3,102,387.90","$6,228,157.52","$6,228,157.52","$6,228,157.52",Currency,2007-02-12,0.40%,Charles Schwab,$0.00,N/A,N/A,0.00%,0.00,0.05,1,100.00%,40%,40%,1099,$61.37,$62.38,$61.26,$61.50,39.65,A,A-,C,B-,B,C,0.0,N/A,N/A,N/A,N/A,N/A
FXE,Invesco CurrencyShares Euro Trust,Currency,"$227,314,000",0.97%,"68,871",$98.44,-0.40%,No,False,0.47%,0.90%,8.01%,-3.69%,-1.70%,"-$60,848.54",$0.00,"-$19,498,607.09","-$60,848.54","-$5,453,884.63","-$5,453,884.63",Currency,2005-12-09,0.40%,Charles Schwab,$1.34,2023-11-01,$0.19,1.35%,0.00,0.13,1,100.00%,40%,40%,1099,$96.63,$99.10,$98.24,$98.82,52.82,A,A,A+,A-,B+,C,0.0,N/A,N/A,N/A,N/A,N/A
FXF,Invesco CurrencyShares Swiss Franc Trust,Currency,"$198,058,000",2.05%,"18,127",$98.48,-0.46%,No,False,0.26%,0.66%,8.70%,-0.99%,1.19%,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Currency,2006-06-21,0.40%,Charles Schwab,$0.01,2023-11-01,$0.01,0.01%,0.00,0.09,1,100.00%,40%,40%,1099,$97.88,$99.90,$98.31,$98.78,46.99,B+,A-,A-,B+,B-,C+,0.0,N/A,N/A,N/A,N/A,N/A
FXB,Invesco CurrencyShares British Pound Sterling Trust,Currency,"$88,594,400",3.41%,"16,342",$117.47,-0.48%,No,False,0.21%,0.09%,10.26%,-1.80%,-1.00%,"-$5,870,290.77",$0.00,$0.00,"-$5,870,290.77","-$12,395,327.15","-$12,395,327.15",Currency,2006-06-21,0.40%,Charles Schwab,$2.81,2023-11-01,$0.32,2.37%,0.00,0.27,1,100.00%,40%,40%,1099,$115.64,$118.59,$117.27,$117.82,48.68,A-,A,B,A-,B,B-,0.0,N/A,N/A,N/A,N/A,N/A
BITX,2x Bitcoin Strategy ETF,N/A,"$83,241,400",N/A,"392,539",$18.97,4.92%,No,False,8.46%,65.68%,N/A,N/A,N/A,"$61,984,034.00","$6,518,888.00","$21,959,734.00","$61,984,034.00","$61,984,034.00","$61,984,034.00",N/A,2023-06-27,1.85%,N/A,$0.00,N/A,N/A,0.00%,N/A,N/A,3,100.01%,40%,20%,1099,$10.17,$20.70,$17.84,$20.31,73.23,A,C,N/A,N/A,B-,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FXC,Invesco CurrencyShares Canadian Dollar Trust,Currency,"$77,952,300",-0.30%,"34,383",$70.73,-0.21%,No,False,-0.66%,-0.94%,-0.17%,-1.43%,-0.53%,"-$3,721,305.38","$10,666,649.06","$3,497,793.46","-$3,721,305.38","-$3,721,305.38","-$3,721,305.38",Currency,2006-06-21,0.40%,Charles Schwab,$1.43,2023-11-01,$0.14,2.01%,0.00,0.26,1,100.00%,40%,40%,1099,$70.35,$71.81,$70.62,$70.96,42.57,A-,A,B,A,B+,C+,0.0,N/A,N/A,N/A,N/A,N/A
FXA,Invesco CurrencyShares Australian Dollar Trust,Currency,"$73,046,900",-5.53%,"6,006",$63.10,-0.44%,No,False,-0.90%,-0.13%,0.21%,-4.16%,-2.43%,"$6,286,674.73",$0.00,"$6,286,674.73","$6,286,674.73","$6,286,674.73","$6,286,674.73",Currency,2006-06-21,0.40%,Charles Schwab,$0.61,2023-11-01,$0.07,0.96%,0.00,0.41,1,100.00%,40%,40%,1099,$61.92,$64.16,$62.93,$63.44,48.37,A,A+,C+,B+,A,B-,0.0,N/A,N/A,N/A,N/A,N/A
