Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
PFF,iShares Preferred & Income Securities ETF,Preferred Stock,"$12,735,900,000",1.89%,"3,964,870",$29.45,-1.04%,No,False,-0.24%,2.60%,3.96%,-1.95%,1.40%,"$179,589,408.85","$229,035,185.20","$216,884,305.85","$179,589,408.85","$136,862,173.85","$136,862,173.85",Preferred Stock/Convertible Bonds,2007-03-26,0.46%,Fidelity,$2.11,2023-11-01,$0.17,7.16%,10.16,0.51,452,11.93%,40%,20%,1099,$27.66,$30.05,$29.32,$29.68,53.49,A,B+,A,B,A,A+,5.43,9.36%,29.28%,204.56,3.84%,2.24%
FPE,First Trust Preferred Securities & Income ETF,Preferred Stock,"$5,040,510,000",-0.10%,"1,708,048",$15.94,-0.31%,No,False,0.38%,2.17%,3.00%,-1.52%,2.02%,"-$108,436,039.00","$45,449,944.50","-$51,512,528.00","-$108,436,039.00","-$100,353,231.00","-$100,353,231.00",Preferred Stock/Convertible Bonds,2013-02-11,0.85%,N/A,$1.02,2023-10-24,$0.06,6.38%,0.00,0.47,262,17.39%,40%,20%,1099,$15.28,$16.09,$15.90,$16.00,58.25,A,C+,N/A,A,B+,A,6.4,54.39%,48.61%,112.7,3.11%,1.35%
PGX,Invesco Preferred ETF,Preferred Stock,"$4,411,760,000",1.42%,"4,172,050",$10.75,-1.38%,No,False,-0.28%,3.21%,2.48%,-4.96%,0.14%,"$14,828,400.00","-$12,086,300.00","-$13,158,450.00","$14,828,400.00","$20,766,800.00","$20,766,800.00",Preferred Stock/Convertible Bonds,2008-01-31,0.50%,Charles Schwab,$0.73,2023-10-23,$0.07,6.69%,0.00,0.46,262,14.41%,40%,20%,1099,$9.93,$11.02,$10.69,$10.87,53.83,A+,B,B+,B-,A-,A,5.61,14.04%,31.56%,145.59,3.95%,2.59%
PFFD,Global X U.S. Preferred ETF,Preferred Stock,"$2,129,330,000",-0.26%,"773,361",$18.31,-1.03%,No,False,-0.26%,3.21%,0.90%,-4.48%,0.78%,"-$63,835,823.58","-$51,285,790.06","-$45,214,021.10","-$63,835,823.58","-$63,925,660.40","-$63,925,660.40",Preferred Stock/Convertible Bonds,2017-09-11,0.23%,N/A,$1.26,2023-11-03,$0.10,6.80%,0.00,0.47,213,19.43%,40%,20%,1099,$17.09,$18.69,$18.22,$18.48,53.34,A,A,N/A,C+,A,N/A,5.63,15.20%,31.89%,143.23,4.55%,2.10%
PFXF,VanEck Preferred Securities ex Financials ETF,Preferred Stock,"$1,268,700,000",2.13%,"447,033",$16.24,-1.10%,No,False,-0.55%,2.50%,3.48%,-0.57%,2.75%,"$10,870,378.50","-$10,783,684.50","$5,915,169.00","$10,870,378.50","$10,870,378.50","$10,870,378.50",Preferred Stock/Convertible Bonds,2012-07-16,0.41%,N/A,$1.09,2023-11-01,$0.08,6.67%,0.00,0.62,107,23.07%,40%,20%,1099,$15.35,$16.60,$16.15,$16.39,50.75,B+,A-,N/A,B,A-,B+,5.52,10.53%,30.43%,680.81,12.25%,4.54%
PGF,Invesco Financial Preferred ETF,Preferred Stock,"$926,337,000",0.76%,"304,667",$13.82,-1.29%,No,False,0.07%,3.08%,2.23%,-4.76%,0.17%,"-$36,500,200.00","$1,365,800.00","-$12,636,350.00","-$36,500,200.00","-$36,500,200.00","-$36,500,200.00",Preferred Stock/Convertible Bonds,2006-12-01,0.55%,N/A,$0.85,2023-10-23,$0.07,6.07%,0.00,0.41,100,23.82%,40%,20%,1099,$12.81,$14.11,$13.74,$13.94,54.75,A-,B-,A-,C+,B+,B-,5.72,30.93%,33.99%,4.78,0.00%,0.51%
PSK,SPDR ICE Preferred Securities ETF,Preferred Stock,"$807,705,000",1.79%,"133,558",$31.67,-1.34%,No,False,-0.44%,3.02%,3.68%,-4.57%,0.33%,"-$13,792,286.30","-$16,406.65","-$9,105,050.00","-$13,792,286.30","-$13,792,286.30","-$13,792,286.30",Preferred Stock/Convertible Bonds,2009-09-16,0.45%,N/A,$2.15,2023-11-01,$0.18,6.69%,0.00,0.41,146,17.80%,40%,20%,1099,$29.41,$32.42,$31.50,$31.99,53.60,B+,B+,B,B-,A-,A-,5.96,27.49%,38.32%,218.11,6.01%,1.21%
PREF,Principal Spectrum Preferred Secs Active ETF,Preferred Stock,"$659,950,000",1.64%,"207,814",$16.71,-0.06%,No,False,1.09%,2.18%,5.01%,-1.96%,2.27%,"$66,351,375.00","$8,289,570.00","$62,215,125.00","$66,351,375.00","$66,351,375.00","$66,351,375.00",Preferred Stock/Convertible Bonds,2017-07-10,0.55%,N/A,$0.82,2023-11-01,$0.07,4.90%,0.00,0.38,84,29.10%,40%,20%,1099,$16.11,$16.76,$16.66,$16.76,59.71,B,B-,N/A,A,C+,N/A,6.78,79.45%,62.82%,447.62,12.14%,1.65%
PFFA,Virtus InfraCap U.S. Preferred Stock ETF,Preferred Stock,"$637,858,000",13.70%,"158,606",$18.94,-0.99%,No,Variable,-0.21%,2.91%,12.21%,8.21%,4.27%,"$15,752,150.00","$3,809,250.00","$12,025,600.00","$15,752,150.00","$15,752,150.00","$15,752,150.00",Preferred Stock/Convertible Bonds,2018-05-15,1.40%,N/A,$1.97,2023-10-20,$0.16,10.35%,0.00,1.24,202,28.94%,40%,20%,1099,$17.74,$19.31,$18.86,$19.07,53.91,B,C,N/A,B,A+,N/A,4.07,1.17%,5.93%,147.39,1.92%,2.84%
PFFV,Global X Variable Rate Preferred ETF,Preferred Stock,"$218,809,000",5.53%,"43,645",$22.45,-0.53%,No,False,0.26%,1.98%,5.88%,0.81%,N/A,"$4,311,480.37","-$263,471.90","$3,469,366.05","$4,311,480.37","$4,877,598.48","$4,877,598.48",Preferred Stock/Convertible Bonds,2020-06-22,0.25%,N/A,$1.52,2023-11-03,$0.13,6.76%,0.00,0.36,58,35.67%,40%,20%,1099,$21.46,$22.72,$22.39,$22.55,55.80,B,A,N/A,B+,B+,N/A,5.1,0.93%,24.75%,33.2,0.48%,0.66%
