Symbol,ETF Name,Asset Class,Total Assets ,YTD Price Change,Avg. Daily Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,1 Month,1 Year,3 Year,5 Year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
VNQ,Vanguard Real Estate ETF,Real Estate,"$29,030,100,000",-6.36%,"4,959,815",$74.89,-1.58%,No,False,-1.17%,0.77%,-3.38%,1.58%,2.24%,"-$621,939,042.92","-$197,796,599.40","-$486,868,729.50","-$621,939,042.92","-$621,790,328.49","-$621,790,328.49",Real Estate,2004-09-23,0.12%,2 Platforms,$3.59,2023-09-28,$0.73,4.71%,27.70,0.91,161,47.08%,40%,20%,1099,$70.17,$78.17,$74.28,$75.95,48.11,A,A,B-,B-,A-,A,5.91,70.86%,37.21%,81.31,3.15%,15.34%
SCHH,Schwab US REIT ETF,Real Estate,"$5,677,950,000",-6.50%,"3,707,197",$17.62,-1.62%,No,False,-1.51%,1.21%,-3.55%,2.15%,-0.71%,"$198,505,000.00","-$9,037,500.00","$28,206,000.00","$198,505,000.00","$198,505,000.00","$198,505,000.00",Real Estate,2011-01-13,0.07%,Charles Schwab,$0.62,2023-09-20,$0.14,3.43%,25.00,0.92,124,47.13%,40%,20%,1099,$16.55,$18.38,$17.48,$17.88,48.26,A,A+,B+,C+,C+,A-,5.91,72.57%,37.30%,87.19,3.78%,16.72%
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"$4,392,290,000",-5.62%,"6,139,835",$34.01,-1.53%,No,False,-0.85%,1.34%,-2.08%,1.86%,3.95%,"$242,208,713.15","$59,945,658.10","$189,099,937.05","$242,208,713.15","$212,742,695.15","$212,742,695.15",Real Estate,2015-10-07,0.10%,N/A,$1.33,2023-09-18,$0.29,3.84%,33.65,0.84,33,60.78%,40%,20%,1099,$31.79,$35.44,$33.75,$34.46,48.98,A,A,A-,C,B,C+,6.52,96.00%,52.29%,91.07,3.43%,16.85%
VNQI,Vanguard Global ex-U.S. Real Estate ETF,Real Estate,"$3,344,690,000",-6.19%,"292,121",$38.78,-0.87%,No,False,-0.51%,-0.05%,1.66%,-5.83%,-3.18%,"-$11,845,436.78","$86,563.22","$11,020,563.22","-$11,845,436.78","-$11,845,436.78","-$11,845,436.78",Global Real Estate,2010-11-01,0.12%,Vanguard,$0.23,2022-12-19,$0.24,0.61%,10.20,0.76,1000,23.01%,40%,20%,1099,$36.06,$39.94,$38.53,$39.20,51.18,A,A,C+,B+,B-,A+,6.24,65.38%,44.65%,68.86,1.21%,27.61%
REET,iShares Global REIT ETF,Real Estate,"$2,994,010,000",-6.27%,"695,406",$20.76,-1.52%,No,False,-1.33%,-0.29%,-2.53%,1.93%,-0.25%,"$98,424,245.00",$0.00,"$27,281,910.00","$98,424,245.00","$98,424,245.00","$98,424,245.00",Global Real Estate,2014-07-08,0.14%,N/A,$0.55,2023-09-26,$0.27,2.62%,16.17,0.93,345,35.10%,40%,20%,1099,$19.61,$21.66,$20.60,$21.05,47.18,A+,A,A+,B,A-,N/A,5.64,10.00%,32.00%,86.15,3.19%,23.38%
IYR,iShares U.S. Real Estate ETF,Real Estate,"$2,576,730,000",-6.03%,"7,055,889",$77.42,-1.58%,No,False,-1.04%,0.85%,-2.96%,1.15%,2.08%,"-$100,138,061.75","-$59,510,609.90","$121,828,691.75","-$100,138,061.75","-$144,319,741.75","-$144,319,741.75",Real Estate,2000-06-12,0.40%,Fidelity,$2.53,2023-09-26,$0.90,3.22%,25.96,0.91,76,47.73%,40%,20%,1099,$72.42,$80.77,$76.79,$78.51,48.32,A+,B,B-,B-,C+,A-,6.06,84.57%,40.25%,80.37,3.74%,15.48%
USRT,iShares Core U.S. REIT ETF,Real Estate,"$1,933,210,000",-4.37%,"345,362",$46.16,-1.70%,No,False,-1.54%,-0.37%,-1.88%,4.48%,2.29%,"$95,260,783.00","$11,744,882.25","$76,626,152.20","$95,260,783.00","$114,607,363.00","$114,607,363.00",Real Estate,2007-05-01,0.08%,N/A,$1.73,2023-09-26,$0.59,3.74%,28.61,0.94,136,47.41%,40%,20%,1099,$43.72,$48.39,$45.80,$46.82,46.62,A-,A,B+,C+,B-,A,5.43,26.29%,29.23%,90.67,4.28%,17.34%
ICF,iShares Cohen & Steers REIT ETF,Real Estate,"$1,866,110,000",-6.68%,"201,882",$50.13,-1.55%,No,False,-1.07%,1.52%,-3.44%,1.66%,2.22%,"-$147,051,260.15","-$2,545,859.00","-$137,091,721.50","-$147,051,260.15","-$147,051,260.15","-$147,051,260.15",Real Estate,2001-01-29,0.33%,N/A,$1.56,2023-09-26,$0.60,3.06%,32.37,0.84,31,62.05%,40%,20%,1099,$46.90,$52.19,$49.71,$50.88,49.10,A-,A-,A-,C+,B+,B-,6.25,93.71%,44.96%,94.57,4.13%,16.43%
RWR,SPDR Dow Jones REIT ETF,Real Estate,"$1,237,620,000",-4.40%,"327,939",$81.17,-1.68%,No,False,-1.52%,-0.45%,-2.14%,4.76%,0.81%,"-$8,389,335.76","-$8,090,070.69","-$16,885,828.74","-$8,389,335.76","$14,998,274.11","$14,998,274.11",Real Estate,2001-04-23,0.25%,TD Ameritrade,$3.39,2023-09-18,$0.82,4.10%,0.03,0.95,110,51.12%,40%,20%,1099,$76.72,$85.12,$80.51,$82.37,46.62,A-,A-,B,B-,B+,A-,5.49,33.71%,30.16%,93.22,0.00%,19.12%
RWO,SPDR Dow Jones Global Real Estate ETF,Real Estate,"$1,109,520,000",-5.72%,"117,015",$37.57,-1.29%,No,False,-1.18%,0.05%,-1.93%,1.24%,-0.92%,"$3,712,397.60",$0.00,"-$9,427,843.15","$3,712,397.60","$3,712,397.60","$3,712,397.60",Global Real Estate,2008-05-07,0.50%,2 Platforms,$1.49,2023-09-18,$0.39,3.92%,25.66,0.91,239,36.15%,40%,20%,1099,$35.36,$39.08,$37.29,$38.04,47.98,A-,B+,A,B,A,A-,5.86,30.00%,36.36%,87.1,0.00%,24.65%
FREL,Fidelity MSCI Real Estate Index ETF,Real Estate,"$879,621,000",-6.36%,"209,573",$22.51,-1.57%,No,False,-1.27%,0.85%,-3.34%,1.63%,2.15%,"-$28,283,000.00","-$20,589,300.00","-$26,068,430.00","-$28,283,000.00","-$28,283,000.00","-$28,283,000.00",Real Estate,2015-02-02,0.08%,Fidelity,$0.91,2023-09-15,$0.22,3.96%,27.22,0.91,155,43.69%,40%,20%,1099,$21.09,$23.49,$22.33,$22.82,48.12,A,A,B-,C+,B+,A+,5.91,72.00%,37.25%,82.12,3.50%,15.68%
BBRE,JPMorgan BetaBuilders MSCI US REIT ETF,Real Estate,"$759,964,000",-4.10%,"27,256",$76.06,-1.67%,No,False,-1.42%,-0.46%,-1.77%,4.36%,2.40%,"$55,241,000.00",$0.00,"$12,998,250.00","$55,241,000.00","$55,241,000.00","$55,241,000.00",Real Estate,2018-06-15,0.11%,N/A,$3.05,2023-09-19,$0.73,4.01%,0.04,0.92,124,47.08%,40%,20%,1099,$72.04,$79.69,$75.43,$77.20,46.65,B,A,B+,B,B,N/A,5.44,27.43%,29.41%,91.43,4.37%,17.89%
HAUZ,DBX ETF Trust - Xtrackers International Real Estate ETF,Real Estate,"$612,583,000",-7.64%,"109,665",$19.34,-0.92%,No,False,-0.77%,-0.31%,0.48%,-4.62%,-2.94%,"$12,502,250.00",$0.00,"-$2,770,700.00","$12,502,250.00","$12,502,250.00","$12,502,250.00",Global Real Estate,2013-10-01,0.10%,N/A,$0.65,2023-06-23,$0.40,3.38%,0.07,0.82,1000,22.11%,40%,20%,1099,$18.09,$19.94,$19.22,$19.57,50.08,B+,A+,C,B-,A,N/A,6.33,72.31%,46.63%,75.56,1.46%,25.06%
REZ,iShares Residential and Multisector Real Estate ETF,Real Estate,"$565,494,000",-5.10%,"43,144",$63.50,-1.73%,No,False,-0.84%,-2.92%,-3.92%,3.25%,2.69%,"-$3,750,106.65",$0.00,"-$478,464.20","-$3,750,106.65","-$8,402,166.65","-$8,402,166.65",Real Estate,2007-05-01,0.48%,N/A,$2.20,2023-09-26,$0.68,3.40%,31.57,0.81,39,64.36%,40%,20%,1099,$60.77,$67.55,$63.00,$64.44,43.83,A-,B,A,B+,B-,B+,5.05,9.14%,24.12%,57.14,0.00%,10.98%
REM,iShares Mortgage Real Estate ETF,Real Estate,"$556,139,000",-1.52%,"378,450",$21.13,-2.22%,No,False,-0.09%,0.33%,-0.71%,0.58%,-5.30%,"-$24,432,355.05","-$64,561.70","-$19,042,125.00","-$24,432,355.05","-$28,143,545.05","-$28,143,545.05",Real Estate,2007-05-01,0.48%,N/A,$2.30,2023-09-26,$0.56,10.64%,5.79,1.50,33,68.75%,40%,20%,1099,$18.78,$22.33,$20.84,$21.64,49.07,A,B,C,B+,A,B,4.11,3.43%,6.11%,2.06,0.00%,1.36%
