Symbol,Name,Sector
MAT,Mattel Inc.,Consumer Discretionary
MGM,MGM Resorts International,Consumer Discretionary
NUE,Nucor Corp.,Materials
ANTM,Anthem Inc.,Health Care
BAX,Baxter International Inc.,Health Care
PFE,Pfizer Inc.,Health Care
CCI,Crown Castle International Corp.,Real Estate
MRO,Marathon Oil Corp.,Energy
AEE,Ameren Corp,Utilities
GWW,Grainger (W.W.) Inc.,Industrials
KMX,Carmax Inc,Consumer Discretionary
WMT,Wal-Mart Stores,Consumer Staples
NVDA,Nvidia Corporation,Information Technology
KO,Coca-Cola Company (The),Consumer Staples
BAC,Bank of America Corp,Financials
MAA,Mid-America Apartments,Real Estate
SLB,Schlumberger Ltd.,Energy
PGR,Progressive Corp.,Financials
HCA,HCA Holdings,Health Care
FTV,Fortive Corp,Industrials
DISCA,Discovery Communications-A,Consumer Discretionary
MDLZ,Mondelez International,Consumer Staples
DFS,Discover Financial Services,Financials
TAP,Molson Coors Brewing Company,Consumer Staples
NAVI,Navient,Financials
BLL,Ball Corp,Materials
STI,SunTrust Banks,Financials
AXP,American Express Co,Financials
ORLY,O'Reilly Automotive,Consumer Discretionary
JNJ,Johnson & Johnson,Health Care
RTN,Raytheon Co.,Industrials
PKG,Packaging Corporation of America,Materials
INCY,Incyte,Health Care
FCX,Freeport-McMoRan Inc.,Materials
TJX,TJX Companies Inc.,Consumer Discretionary
NWSA,News Corp. Class A,Consumer Discretionary
WLTW,Willis Towers Watson,Financials
TWX,Time Warner Inc.,Consumer Discretionary
ACN,Accenture plc,Information Technology
TSCO,Tractor Supply Company,Consumer Discretionary
WFC,Wells Fargo,Financials
NEM,Newmont Mining Corporation,Materials
NKE,Nike,Consumer Discretionary
HIG,Hartford Financial Svc.Gp.,Financials
VZ,Verizon Communications,Telecommunication Services
ROK,Rockwell Automation Inc.,Industrials
LUV,Southwest Airlines,Industrials
ETN,Eaton Corporation,Industrials
WM,Waste Management Inc.,Industrials
EIX,Edison Int'l,Utilities
SCHW,Charles Schwab Corporation,Financials
VRSN,Verisign Inc.,Information Technology
INFO,IHS Markit Ltd.,Industrials
ATVI,Activision Blizzard,Information Technology
EMR,Emerson Electric Company,Industrials
O,Realty Income Corporation,Real Estate
AVB,"AvalonBay Communities, Inc.",Real Estate
RL,Polo Ralph Lauren Corp.,Consumer Discretionary
MSFT,Microsoft Corp.,Information Technology
ALK,Alaska Air Group Inc,Industrials
HD,Home Depot,Consumer Discretionary
